year,n,research_area,searched,search_string
2022,80433,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2021,83991,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2020,79377,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2019,75295,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2018,65322,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2017,63639,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2016,62033,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2015,59673,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2014,58156,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2013,58654,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2012,56188,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2011,54195,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2010,50481,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2009,48875,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2008,48849,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2007,45551,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2006,44424,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2005,39174,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2004,39609,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2003,34935,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2002,33316,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2001,29489,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2000,27148,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
1999,27931,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
1998,30576,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
1997,27966,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
1996,28363,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
1995,26878,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
1994,25469,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
1993,26150,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
1992,26693,Pharmacology and Pharmacy,4/07/2024,PY=(1992-2021) AND WC=(Pharmacology & Pharmacy)
2022,24448,Neurosciences and Neurology,3/07/2024,PY=(1992-2022) AND WC=(Neurosciences & Neurology)
2021,27022,Neurosciences and Neurology,4/07/2024,PY=(1992-2022) AND WC=(Neurosciences & Neurology)
2020,24331,Neurosciences and Neurology,4/07/2024,PY=(1992-2022) AND WC=(Neurosciences & Neurology)
2019,28561,Neurosciences and Neurology,4/07/2024,PY=(1992-2022) AND WC=(Neurosciences & Neurology)
2018,21904,Neurosciences and Neurology,4/07/2024,PY=(1992-2022) AND WC=(Neurosciences & Neurology)
2017,25887,Neurosciences and Neurology,4/07/2024,PY=(1992-2022) AND WC=(Neurosciences & Neurology)
2016,21904,Neurosciences and Neurology,4/07/2024,PY=(1992-2022) AND WC=(Neurosciences & Neurology)
